A,B
552.0,2.09133554691e11
2.0,5.83453961e8
252.0,9.9983028043e10
502.0,2.1178621047e11
652.0,2.51815731551e11
602.0,2.36690160605e11
352.0,1.33791845614e11
402.0,1.56333801136e11
702.0,2.72745722176e11
852.0,3.50313545872e11
752.0,2.965218901e11
802.0,3.25233554766e11
452.0,1.75438669423e11
152.0,5.7841135897e10
202.0,8.1971471619e10
302.0,1.14871372029e11
102.0,3.9366993221e10
52.0,2.11730540275e10
87501.0,8.01377897425e9
1.0,4.86914498e7
25001.0,2.2816105472e9
12501.0,1.1437986934e9
150001.0,1.3729786210666666e10
162501.0,1.4886609508e10
37501.0,3.4096913674444447e9
100001.0,9.12416087425e9
125001.0,1.1508215314e10
75001.0,6.9166197112e9
50001.0,4.567089178142858e9
137501.0,1.2595210400333334e10
62501.0,5.6028478135e9
175001.0,1.6152214832e10
112501.0,1.0308592877333334e10
187501.0,1.71079686885e10
